RAJ2000	DEJ2000	HR	Name	HD	VarID	Vmag	B-V	SpType
#Sagittarius
154.994167	19.840556	4058	41Gam2Leo	89485	4823	3.8	NA	G7IIIFe-1
151.833333	16.762778	3975	30Eta Leo	87737	4738	3.52	-0.03	A0Ib
152.092917	11.967222	3982	32Alp Leo	87901	4750	1.35	-0.11	B7V
145.2875	9.892222	3852	14Omi Leo	83808	NA	3.52	0.49	F6II+A1-5V
152.092917	11.967222	3982	32Alp Leo	87901	4750	1.35	-0.11	B7V
168.56	15.429444	4359	70The Leo	97633	5144	3.34	-0.01	A2V
170.98125	10.529167	4399	78Iot Leo	99028	5184	3.94	0.41	F4IV
170.284167	6.029444	4386	77Sig Leo	98664	NA	4.05	-0.06	B9.5V s
170.98125	10.529167	4399	78Iot Leo	99028	5184	3.94	0.41	F4IV
168.56	15.429444	4359	70The Leo	97633	5144	3.34	-0.01	A2V
177.265	14.571944	4534	94Bet Leo	102647	Bet Leo	2.14	0.09	A3V
168.527083	20.523611	4357	68Del Leo	97603	5143	2.56	0.12	A4V
154.994167	19.840556	4058	41Gam2Leo	89485	4823	3.8	NA	G7IIIFe-1
								
#Lepus
083.182500	-17.822222	1865	 11Alp Lep	 36673	 2128    	 2.58	 0.21	  F0Ib
082.061250	-20.759444	1829	  9Bet Lep	 36079	 2008    	 2.84	 0.82	  G5II
086.115833	-22.448333	1983	 13Gam Lep	 38393	         	 3.60	 0.47	  F6V
087.830417	-20.879167	2035	 15Del Lep	 39364	         	 3.81	 0.99	  K0IIIFe-1.5CH0.5
091.538750	-14.935278	2155	 18The Lep	 41695	         	 4.67	 0.05	  A1Vn
089.101250	-14.167778	2085	 16Eta Lep	 40136	         	 3.71	 0.33	  F1III
086.738750	-14.821944	1998	 14Zet Lep	 38678	         	 3.55	 0.10	  A3Vn
083.182500	-17.822222	1865	 11Alp Lep	 36673	 2128    	 2.58	 0.21	  F0Ib
078.232917	-16.205556	1702	  5Mu  Lep	 33904	Mu  Lep  	 3.31	-0.11	  B9IIIpHgMn
